bibid,description,score,score_cat
(CKB)3710000000354280,"<div>The essential collection by sex workers on sex work, prostitute rights, and the real media whores who sensationalize them.<br></div>",0.94231606,.75-1
(VaAlASP)3261798,"Black and white engraving image of the exterior of the Orphanage and Asylum for Idiot Children, at Baldovan, near Dundee, United Kingdom.",0.9422531,.75-1
(OCoLC)ocm53883593,"Pierre and his snobbish friends have a standing date for dinner. Every week, they compete to see who can bring the biggest idiot to the party.",0.93965054,.75-1
(OCoLC)ocm44408960,"Pierre and his snobbish friends have a standing date for dinner.  Every week, they compete to see who can bring the biggest idiot to the party.",0.93965054,.75-1
(OCoLC)ocm77465362,"A quiet, cynic taxidermist, who suffers from epilepsy attacks, is obsessed with committing the perfect crime. He claims that the police are too stupid to find out about it when it's well executed, and that the robbers are too stupid to execute it the right way. He feels that he could do it himself by relying on his photographic memory and his strategic planning skills. He is invited on a hunting trip away from his home. Once there, an accident gives him the chance of a life time: the possibility to commit the perfect crime.",0.9361828,.75-1
(OCoLC)ocm33634883,"An erotic table dancer at a strip club has sex with two mysterious, obessive strangers and gets involved in a deadly plot.",0.9357505,.75-1
(OCoLC)ocm00170955,The emperor shows his stupidity when he walks through the city in the invisible suit two rascal tailors made for him.,0.93482125,.75-1
(OCoLC)974677174,"""A new collection by the American avant-garde iconoclast. Includes the plays Gods Are Pounding My Head!, Idiot Savant, and Old-Fashioned Prostitutes""--",0.93359846,.75-1
(CKB)3790000000024099," Extrait : """"VIRGINIE, à Félix, qui cherche à l'embrasser. Non, laissez-moi, monsieur Félix !... Je n'ai pas le temps de jouer. FELIX. Rien qu'un baiser ?"""" ",0.9331118,.75-1
(VaAlASP)3261808,"Black and white engraving image of the foot-races at the annual festival of the asylum for idiots in Earlswood, United Kingdom.",0.9313711,.75-1
(OCoLC)223990847,"Ben, a gay teacher who hates himself and everyone else, gets dumped by his boyfriend and learns his ex-wife is remarrying.",0.93121755,.75-1
(VaAlASP)3243307,"This issue of Gayzette includes a cover story about issues of morality and the law as they relate to homosexual behavior; an article on a study from the Kinsey Institute that openly gay men experience less stress than closeted ones; and a review of the musical stage comedy, ''The Faggot.''",0.9254514,.75-1
(CKB)2430000000001416,"'You are a nasty bloody thundering whore,' one Gloucester woman said to another in 1852. Most lawyers and historians are surprised to learn that until 1855 language of this sort was punishable in the ecclesiastical courts. In a study based on court records and lawyers' correspondence, Stephen Waddams shows how the law worked not only in theory but in practice. He concludes that, though this branch of the law had many deficiencies, it also had certain merits, especially from the point of view of women, who constituted 90 per cent of all complainants. The evidence of the witnesses supplies fascinating details of day-to-day events and of social attitudes from the words of participants, who were mostly of a very modest social status, and not accustomed to recording their views. Their evidence provides a valuable perspective not generally available to historians. The study is of importance to legal historians and to all who have an interest in nineteenth-century England, especially to those concerned with the sexual reputation of women.",0.9242253,.75-1
(OCoLC)ocm46344046,"Paul Kersey, a bleeding-heart liberal, becomes a one-man vigilante after his wife and daughter are violently attacked and raped by a gang of thugs.",0.9188864,.75-1
(YBPDDA)ebc4187920,"""""Begins to fuck with your head from its very first word.""--Toby Litt. ""Navidad & Matanza could be the hallucinogenic amalgamation of a César Aira plot with setting and characters conceived by Bolaño--if written using Oulipo-style constraints. With ample imagination and commanding style, Navidad & Matanza certainly marks Labbé as a young author from whom we ought to anticipate great, fascinating things to come.""--Jeremy Garber, Powell's Books. Loquela, Carlos Labbé's fourth novel and second to be translated into English, is a narrative chameleon, a shape-shifting exploration of fiction's possibilities. At a basic level, this is a distorted detective novel mixed with a love story and a radical statement about narrative art. Beyond the silence that unites and separates Carlos and Elisa, beyond the game that estranges the albino girls, Alicia and Violeta, from pleasant summer evenings, beyond the destiny of Neutria--a city that disappears with childhood--and beyond a Chilean literary movement that could be the last vanguard, while at the same time the greatest falsification, questions arise concerning who truly writes for whom in a novel--the author or the reader. Through an array of voices, overlapping storylines, a kaleidoscope of literary references, and a delirious, precise prose, Labbé carves out a space for himself among such great form-defying Latin American writers as Juan Carlos Onetti and Jorge Luis Borges. Carlos Labbé, one of Granta's ""Best Young Spanish-Language Novelists,"" was born in Chile and is the author of a collection of short stories and six novels, one of which, Navidad & Matanza, is available in English from Open Letter. In addition to his writings, he is a musician, and has released three albums. Will Vanderhyden received an MA in literary translation from the University of Rochester""--",0.91857535,.75-1
(CKB)2550000000709191,"He wants me to fuck about with paper clips in some office with a smile on my face, fuck him . . . but there's just one thing I've got to take care of first. I've got to do something to make this right. Four years on from the collapse of the Lehman Brothers and still we find ourselves in crisis. It's time to work out what's wrong. It's time to look at the heart of the system. You Can Still Make A Killing is the story of the normal men and women who fill the City's institutions, of a world radically altered when right became wrong, and of the private worlds that fall apart when there are no alte",0.91797763,.75-1
(CKB)3710000000491323,"""The Domesticated Penis is the first anthropological history of the penis, incorporating evidence from evolutionary theory, primatology, archaeology, and cultural anthropology""--",0.9170873,.75-1
(OCoLC)ocm69144801,"A fifteen-year-old Parisian girl embarks on a sexual rampage in an effort to separate herself from her overbearing father, ineffectual mother, and brutish brother.",0.90987825,.75-1
(VaAlASP)3262470,"A black-and-white engraving depicting the front and side of the Asylum for Idiots, Park House, Highgate, London.",0.90865886,.75-1
(OCoLC)ocm85813129,"Male prisoners and a prison guard expressing self love and love for each other. Male homosexual expression is shown together with masturbation, sadism, and fantasy.",0.90829694,.75-1
(OCoLC)ocm42429793,"When a sportswriter tries to track down the mother of his adopted son, he discovers she is a prostitute and pornographic film star.",0.90474594,.75-1
(OCoLC)ocn326878850,"Vapors: A young man visits an infamous New York gay bathhouse. Shoot it, buddy!: a posing strap short from the early sixties. Drag queens ball: Tennessee transvestites strut their stuff on the Holiday Inn Dinner Theatre stage.",0.9008626,.75-1
(OCoLC)ocm50920488,"In The defilers, 2 hedonistic young men abduct a sexy blonde as their own personal sex toy. In Scum of the earth, a wholesome cutie, wanting to earn money for college, is sucked into the degenerate world of the dirty picture racket.",0.9004591,.75-1
(OCoLC)29302083,In sixteenth century Japan a village potter and his brother-in-law set out for the city to seek their fortunes in the spoils of war. Their neglected wives suffer the bitter consequences of their husbands' ambition as one is murdered by soldiers and the other is raped and becomes a prostitute.,0.89996725,.75-1
(OCoLC)ocm71648709,"An American journalist, in search of the prostitute he'd loved and left behind, finds himself on an island where demons and whores rule the night.",0.8980508,.75-1
(OCoLC)759157384,"The Protestant Whore reveals the recurring connection between sexual impropriety and religious heterodoxy in Restoration thought, and Nell Gwyn, writ large as the nation's Protestant Whore, is shown to be a significant figure of sexual, political, and religious controversy.",0.89622706,.75-1
(OCoLC)1131753300,"Deranged murderer Nanni Vitali and three violent thugs escape from prison and begin a psychotic spree of robbery, rape and revenge. But when Vitali brutalizes a beautiful young woman, he lights the fuse on a deadly trap set by an obsessed cop. In this bloody urban jungle, life is cheap, vengeance is law and the ultimate maniac is a MAD DOG KILLER.",0.89506155,.75-1
(OCoLC)ocm00471934,"When Mother is hospitalized, everyone in the Ross household must finally face the long ignored problem that seven-year-old James is not a baby, a slow learner, or lazy, but mentally retarded.",0.89285487,.75-1
(OCoLC)ocn226966019,"Dawn is a pretty high school virgin who unknowingly has a set of mutant teeth between her legs. Caught between her emerging sexuality and a host of oversexed young men, Dawn eventually gives in to her freakish powers.",0.89261913,.75-1
(VaAlASP)3261982,"A black-and-white 1851 engraving showing the setting of the Asylum for Idiots, Essex Hall, Colchester, England.",0.89243436,.75-1
(OCoLC)ocn183665742,The meatrack: A bisexual hustler attempts to leave prostitution.  Sticks and stones: Two gay lovers host a party while their relationship falls apart.,0.8921239,.75-1
(OCoLC)ocm61144749,A silly pig buys a wig.,0.89137775,.75-1
(VaAlASP)2046833,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046929,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046636,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046607,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046771,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046796,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046668,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046734,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046968,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2045820,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046287,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045788,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046250,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046498,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046524,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046549,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046348,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046578,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046386,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045759,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046410,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046470,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045875,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046317,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046709,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046440,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2046897,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2045623,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2047043,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2045696,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045727,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045659,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045561,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2045595,"Voices of lesbian, gay, bisexual and transgender Latinos.",0.89074993,.75-1
(VaAlASP)2047005,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(VaAlASP)2046864,"Voices of lesbian, gay, bisexual and transgender latinos.",0.89074993,.75-1
(CKB)4340000000020248,"""Savagely bitchy and often wildly funny"" (Sheridan Morley, Punch).",0.8863232,.75-1
(CKB)3790000000023887," Extrait : """"Qu'est-ce que la vertu ? moins que rien, un mot A rayer de la langue. Il faudrait être sot Comme un provincial débarqué par le coche Pour y croire. Un filou, la main dans votre poche, Concourra pour le prix Monthyon. Chaude encor D'adultères baisers payés au poids de l'or, Votre femme dira je suis honnête femme. Mentez, pillez, tuez, soyez un homme infâme, Ne croyez pas en Dieu, vous serez marguillier ; Et quand vous serez mort un joyeux héritier ..."""" ",0.8845494,.75-1
(VaAlASP)3261962,"A black-and-white engraving of the front exterior street view of the New Asylum for Idiots, at Earlswood Common, Redhill, Surrey, England, in 1854.",0.8828273,.75-1
(VaAlASP)3235383,"Newsletter for C.R.U.S.H., Chicks Requiring Urgent Sexuality Help, dated August 1999 with articles on sponge use, douching, healthy vaginas, and upcoming events.",0.88212925,.75-1
(OCoLC)ocm54106378,"The zodiac killer: Based on the zodiac murders that occurred between 1966 and 1969. The sex killer: After a successful date with a mannequin head, lonely Tony switches from being a peeping Tom to becoming the sex killer. Zero in and scream: A sniper prowls the Hollywood Hills looking for lovemaking couples so he can kill them.",0.8799916,.75-1
(OCoLC)ocm57283896,"Includes information on abortion, abuse, adolescent girls, aging, alcoholism, black women, breast cancer, breast feeding, breasts, cancer, cervix, cesarean sections, clitoris, clitoridectomy, complementary health practices, condoms, cramps, depression, diabetes, diets, women with disabilities, drugs, eating disorders, environmental and occupational health, estrogen, food, hormones, hormone therapy, hysterectomy, infertility, IUDs, labor, lesbians, masturbation, menopause, menstrual cycle, menstruation, miscarriage, Native Americans, orgasms, pelvic inflammatory disease, penis, pesticides, poverty, racism, rape, sexuality transmitted infections (STIs), sexual orientation, smoking, support groups, vagina, violence, women of color, etc.",0.8771936,.75-1
(VaAlASP)3262468,"A black-and-white engraving depicting children and adults playing games in the outdoor gymnasium of the Asylum for Idiots, Park House, Highgate, London.",0.87571007,.75-1
(UkLoDT)dtnid4185,"The jester Rigoletto is cursed after he encourages the Duke of Mantua to seduce a courtier's daughter. When Rigoletto's daughter Gilda falls in love with the Duke, the curse begins to take effect.   Starring Carlos Álvarez in the title role and featur",0.87492734,.75-1
(OCoLC)ocm00348254,"A collection of nonsense poems which includes, ""I do not like thee, Doctor Fell,"" ""Moll-in-the-Wad,"" ""My Pussy Cat has got the Gout,"" and many others.",0.87373525,.75-1
(CKB)1000000000006033,"Who was Dick? A freaked-out junkie who took too many drugs? An explorer of madness who go too close to his subject and ended up claiming to have met God? A practical joker? The most consistently brilliant SF writer in the world?  At a time when most SF was about cowboys in outer space, Dick explored the landscapes of the mind, conjured fake realities and was able to make you believe six impossible things before breakfast. He embodied the counter-culture a decade before the 1960's.  Perhaps best known for Do Androids Dream Of Electric Sheep? - the novel which inspired Blade Runner - Dick's",0.87055755,.75-1
(OCoLC)904540363,"Ben Garrod seeks out the big part that bones can play in reproduction. Through sexual selection, the skeleton has adapted to aid courtship, competition and even copulation. On his travels, Garrod meets baseball players, drops a 22 lb. weight on a sheep's skull and finds out that humans are in the minority when it comes to not having a penis bone.",0.8701825,.75-1
(OCoLC)ocm26763327,"Marx contends that the image of Bob Hope as a smiling, gentle, good-humored, super-patriot is not true and that Hope is instead a mean-spirited, sadistic, cheap, hypocritical womanizer.",0.86987543,.75-1
(OCoLC)ocm53010603,A bourgeois woman forms an unlikely friendship with a down-on-her-luck French prostitute.,0.8689581,.75-1
(OCoLC)ocn317629622,"Model hunter: Two teeny-bopper lesbian roommates are drawn into the sordid world of ""nude modeling"" by a sleazebag con artist.  Classified sex: A story about swinging and swapping.",0.8675939,.75-1
(OCoLC)ocm44415314,"Marnie, a compulsive thief and liar is caught. Her captor impulsively marries the frigid, disturbed girl in an attempt to discover the reasons for her ongoing anti-social behavior.",0.86696327,.75-1
(OCoLC)1050340044,"Depression-era poetic attack against bankers, brokers, and senators from a ""self-appointed bastard"" who's ""going to get it back.""",0.8654782,.75-1
(OCoLC)ocn694616189,"""Are you there, Satan? It's me, Madison,"" declares the whip-tongued thirteen-year-old narrator of Damned, Chuck Palahniuk's subversive new work of fiction. The daughter of a narcissistic film star and a billionaire, Madison is abandoned at her Swiss boarding school over Christmas, while her parents are off touting their new projects and adopting more orphans. She dies over the holiday of a marijuana overdose--and the next thing she knows, she's in Hell. Madison shares her cell with a motley crew of young sinners that is almost too good to be true: a cheerleader, a jock, a nerd, and a punk rocker, united by fate to form the six-feet-under version of everyone's favorite detention movie. Madison and her pals trek across the Dandruff Desert and climb the treacherous Mountain of Toenail Clippings to confront Satan in his citadel. All the popcorn balls and wax lips that serve as the currency of Hell won't buy them off.",0.8627867,.75-1
(CKB)2670000000065871,"Being surrounded by bullshit is one thing. Having your mind fucked is quite another. The former is irritating, but the latter is violating and intrusive (unless you give your consent). If someone manipulates your thoughts and emotions, messing with your head, you naturally feel resentment: he or she has distorted your perceptions, disturbed your feelings, maybe even usurped your self. Mindfucking is a prevalent aspect of contemporary culture and the agent can range from an individual to a whole state, from personal mind games to wholesale propaganda. In Mindfucking Colin McGinn investigates and clarifies this phenomenon, taking in the ancient Greeks, Shakespeare and modern techniques of thought control. McGinn assembles the conceptual components of this most complex of concepts - trust, deception, emotion, manipulation, false belief, vulnerability - and explores its very nature. Is philosophy, as a discipline, a type of mindfuck, asks McGinn? Is romantic love a species of mindfuck? The essence is psychological upheaval or disorientation, often abetted by the weaknesses of the victim. Jealousy, insecurity and prejudice can aid the mindfuck. Delusion is the general result, sometimes insanity. How mindfucked are you? It's hard to say from the inside, but being aware of the phenomenon offers at least some protection.",0.8620264,.75-1
(VaAlASP)2045465,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045398,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045362,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045327,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046156,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046188,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046217,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045999,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045228,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045903,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046028,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045847,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045528,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045499,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046063,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045969,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046092,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045932,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045196,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2046123,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2044947,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045023,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045257,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045161,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045126,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045096,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2044974,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2044993,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045290,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(VaAlASP)2045062,"Voices of lesbian, gay, bisexual and transgendered Latinos.",0.85984075,.75-1
(OCoLC)ocn703452911,"""A whip-smart, slapstick comedy ... takes aim at Jihadi suicide bombers and illuminates the war on terror through satire and farce. Follow five inept aspiring terrorists on their quest to strike a blow, and how they demonstrate that terrorism may be about ideology, but it can also be about idiots "" -- Container.",0.8596609,.75-1
(VaAlASP)3171803,Composition by G.R. Dicks of a discussion on changes to the proposed CBA.,0.8557434,.75-1
(OCoLC)ocm40143016,"The amours and intrigues of four sophisticated homosexuals in Britain, two of whom are father and son. Witty conversations and steamy sex by the author of The Swimming Pool Library.",0.85325116,.75-1
(OCoLC)ocm47723514,"Dramatized account of Dr. Jean-Marc-Gaspard Itard's efforts to civilize a young boy who was discovered living wild in a forest. The boy, named Victor, becomes increasingly divided between his longing for the wilderness and his new life with the doctor. Itard, whose teaching strategies survive today in the Montessori Method, is unsure whether he is helping a savage become human or turning a forest child into a semi-civilized idiot.",0.85262567,.75-1
(CKB)3790000000022971," Extrait : """"HOMBRES - Ô ne blasphème pas, poète, et souviens-toi. Certes la femme est bien, elle vaut qu'on la baise, Son cul lui fait honneur, encor qu'un brin obèse Et je l'ai savouré maintes fois, quant à moi.""""À PROPOS DES ÉDITIONS LIGARANLes éditions LIGARAN proposent des versions numériques de qualité de grands livres de la littérature classique mais également des livres rares en partenariat avec la BNF. Beaucoup de soins sont apportés à ces versions ebook pour éviter les fautes que l'on trouve trop souvent dans des versions numériques de ces textes. LIGARAN propose des grands classique",0.85252887,.75-1
(OCoLC)ocm41284980,"Whether at home getting ready for the day, enjoying the beach, or at bedtime, Olivia is a feisty pig who has too much energy for her own good.",0.85212535,.75-1
(OCoLC)ocn948561630,"The apostle Paul was kind of a jerk. He was arrogant and stubborn. He called his opponents derogatory, racist names. He legitimized slavery and silenced women. He was a moralistic, homophobic killjoy who imposed his narrow religious views on others. Or was he? Randolph Richards and Brandon O'Brien explore the complicated persona and teachings of the apostle Paul. Unpacking his personal history and cultural context, they show how Paul both offended Roman perspectives and scandalized Jewish sensibilities. His vision of Christian faith was deeply disturbing to those in his day and remains so in ours. Paul behaved badly, but not just in the ways we might think. Take another look at Paul and see why this ""worst of sinners"" dares to say, ""Follow my example, as I follow the example of Christ."" - back of book.",0.8516409,.75-1
